Symbol
MSFT
AAPL
AMZN
FB
GOOGL
GOOG
JNJ
BRK/B
JPM
V
PG
UNH
INTC
HD
MA
VZ
T
DIS
BAC
NVDA
XOM
MRK
PFE
CSCO
CMCSA
ADBE
KO
PEP
CVX
NFLX
PYPL
WMT
ABBV
ABT
CRM
MCD
BMY
TMO
COST
AMGN
MDT
ACN
LLY
NKE
NEE
AVGO
UNP
C
TXN
PM
WFC
AMT
ORCL
LIN
IBM
HON
DHR
LMT
RTX
LOW
BA
QCOM
GILD
MMM
SBUX
CVS
CHTR
FIS
BLK
SPGI
MO
CI
MDLZ
INTU
BKNG
UPS
BDX
ANTM
AXP
CAT
NOW
VRTX
D
CCI
PLD
GS
GE
ZTS
TJX
CME
ISRG
ADP
DUK
SYK
AMD
CB
SO
TGT
CL
FISV
REGN
EQIX
CSX
USB
MU
MS
TFC
ECL
GPN
MMC
BIIB
APD
PNC
AMAT
ATVI
ICE
ILMN
NOC
ITW
BSX
HUM
DE
NSC
ADSK
COP
SCHW
DG
KMB
SHW
AON
PGR
NEM
BAX
ADI
MCO
EL
EW
LHX
LRCX
WM
ROP
AEP
DD
EMR
ETN
EXC
TMUS
EBAY
CNC
PSX
GD
GIS
GM
SRE
DLR
COF
ROST
EA
XEL
BK
SBAC
FDX
WBA
ALL
EOG
DOW
DXCM
KMI
ORLY
MET
AIG
TRV
CTSH
APH
PSA
SYY
TEL
TROW
STZ
KLAC
WEC
AFL
VLO
YUM
INFO
MAR
HCA
A
SLB
ES
IQV
SNPS
MNST
AZO
VRSK
CMI
ZBH
CMG
IDXX
JCI
KR
MSCI
PRU
PPG
WLTW
PEG
TWTR
PCAR
MCK
ROK
F
CLX
CDNS
MSI
MCHP
PH
ALXN
STT
WMB
ED
BLL
MPC
HPQ
HLT
ANSS
XLNX
TDG
WELL
FAST
PAYX
SPG
AWK
PPL
RMD
TT
FE
ADM
CTVA
CERN
OTIS
CTAS
AVB
FLT
DLTR
SWKS
VRSN
SWK
EQR
APTV
AME
DTE
EFX
EIX
VFC
MKC
O
MTD
LUV
ETR
FTV
FRC
FTNT
HSY
KHC
AMP
KEYS
GLW
LYB
TSN
MKTX
NTRS
ALGN
DAL
ARE
CARR
CPRT
DFS
RSG
BBY
CHD
AJG
DHI
AEE
LVS
LH
PXD
LEN
AMCR
TFX
CBRE
CDW
OKE
CMS
INCY
CAH
WY
AKAM
ESS
MXIM
FITB
CAG
CTXS
K
HIG
VMC
DGX
ODFL
MTB
KSU
COO
KMX
VTR
WST
DOV
ABC
IP
PAYC
FCX
DPZ
IFF
TSCO
TTWO
EVRG
ULTA
BR
ZBRA
LDOS
HOLX
BXP
OXY
GWW
SYF
STE
PEAK
MAS
HES
HPE
JKHY
NDAQ
NUE
GRMN
MAA
WDC
HRL
KEY
DRE
EXPD
QRVO
MLM
EXR
GPC
WAT
VIAC
FMC
CXO
OMC
XYL
STX
RF
ATO
ANET
EXPE
CFG
SJM
WAB
TIF
IEX
LNT
NLOK
BF/B
J
NVR
CE
HAL
IT
VAR
SIVB
PFG
URI
PKI
ETFC
UDR
CBOE
MGM
BKR
CHRW
HBAN
FOXA
XRAY
ABMD
IR
DRI
NTAP
PKG
CTL
JBHT
EMN
ALLE
AVY
AAP
RCL
WU
HAS
CINF
RJF
LW
LKQ
HST
L
HSIC
WYNN
AES
NI
MYL
CNP
NRG
PHM
FBHS
WRB
DISH
PNW
RE
LNC
FFIV
ALB
TXT
UAL
WHR
IRM
REG
GL
JNPR
UHS
CPB
COG
HII
TAP
WRK
SNA
FANG
LYV
PRGO
DVA
CCL
BWA
IPG
DISCK
AOS
CF
PNR
AIZ
FRT
AAL
RHI
VNO
MHK
ZION
FLIR
CMA
ROL
BEN
HWM
AIV
KIM
NWL
PWR
IPGP
PBCT
NLSN
SEE
NOV
ALK
HFC
MRO
DVN
NBL
APA
MOS
NWSA
FOX
LEG
TPR
DXC
HBI
SLG
NCLH
RL
PVH
LB
HOG
KSS
FLS
UNM
DISCA
HRB
FTI
IVZ
XRX
GPS
JWN
ADS
UAA
UA
NWS
COTY
