DateBeforeChange,DateAfterChange,Change,Ticker,Name,Sector,Exchange
20150529,20150630,1,QRVO,QORVO INC,Information Technology,NASDAQ
20150529,20150630,1,TGNA,TEGNA INC,Consumer Discretionary,New York Stock Exchange Inc.
20150529,20150630,1,ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20150331,20150430,1,BF.B,BROWN FORMAN CORP CLASS B,Consumer Staples,New York Stock Exchange Inc.
20150331,20150430,1,O,REALTY INCOME REIT CORP,Financials,New York Stock Exchange Inc.
20150227,20150331,1,AAL,AMERICAN AIRLINES GROUP INC,Industrials,NASDAQ
20150227,20150331,1,EQIX,EQUINIX REIT INC,Information Technology,NASDAQ
20150227,20150331,1,HBI,HANESBRANDS INC,Consumer Discretionary,New York Stock Exchange Inc.
20150227,20150331,1,HSIC,HENRY SCHEIN INC,Health Care,NASDAQ
20150227,20150331,1,SLG,SL GREEN REALTY REIT CORP,Financials,New York Stock Exchange Inc.
20150227,20150331,1,SWKS,SKYWORKS SOLUTIONS INC,Information Technology,NASDAQ
20150130,20150227,1,ES,EVERSOURCE ENERGY,Utilities,New York Stock Exchange Inc.
20141231,20150130,1,ENDP,ENDO INTERNATIONAL PLC,Health Care,NASDAQ
20141231,20150130,1,HCA,HCA HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20141128,20141231,1,ANTM,ANTHEM INC,Health Care,New York Stock Exchange Inc.
20141128,20141231,1,RCL,ROYAL CARIBBEAN CRUISES LTD,Consumer Discretionary,New York Stock Exchange Inc.
20141128,20141231,1,WBA,WALGREEN BOOTS ALLIANCE ORD,Consumer Discretionary,NASDAQ
20141031,20141128,1,ACE,ACE LTD,Financials,New York Stock Exchange Inc.
20141031,20141128,1,ACT,ACTAVIS PLC,Health Care,New York Stock Exchange Inc.
20141031,20141128,1,BF/B,BROWN FORMAN CORP CLASS B,Consumer Staples,New York Stock Exchange Inc.
20141031,20141128,1,CRC,CALIFORNIA RESOURCES CORP,Energy,New York Stock Exchange Inc.
20141031,20141128,1,GCI,GANNETT INC,Consumer Discretionary,New York Stock Exchange Inc.
20141031,20141128,1,LVLT,LEVEL COMMUNICATIONS INC,Telecommunications,New York Stock Exchange Inc.
20141031,20141128,1,NU,NORTHEAST UTILITIES,Utilities,New York Stock Exchange Inc.
20141031,20141128,1,UA,UNDER ARMOUR A INC,Consumer Discretionary,New York Stock Exchange Inc.
20141031,20141128,1,WLP,WELLPOINT INC,Health Care,New York Stock Exchange Inc.
20141031,20141128,1,YHOO,YAHOO! INC,Information Technology,NASDAQ
20141031,20141128,1,ZMH,ZIMMER HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20140829,20140930,1,UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,New York Stock Exchange Inc.
20140829,20140930,1,URI,UNITED RENTALS INC,Industrials,New York Stock Exchange Inc.
20140731,20140829,1,DISCK,DISCOVERY COMMUNICATIONS INC SERIE,Consumer Discretionary,NASDAQ
20140731,20140829,1,MNK,MALLINCKRODT,Health Care,New York Stock Exchange Inc.
20140630,20140731,1,AMG,AFFILIATED MANAGERS GROUP INC,Financials,New York Stock Exchange Inc.
20140630,20140731,1,MLM,MARTIN MARIETTA MATERIALS INC,Materials,New York Stock Exchange Inc.
20140530,20140630,1,XEC,CIMAREX ENERGY,Energy,New York Stock Exchange Inc.
20140430,20140530,1,AVGO,AVAGO TECHNOLOGIES LTD,Information Technology,NASDAQ
20140430,20140530,1,GOOG,GOOGLE INC CLASS C,Information Technology,NASDAQ
20140430,20140530,1,INTC,INTEL CORPORATION CORP,Information Technology,NASDAQ
20140430,20140530,1,NAVI,NAVIENT CORP,Financials,NASDAQ
20140430,20140530,1,UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
