Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortVol-Exempt
NCLH,20200601,14551613,236227,35829752,"B,Q,N",14315386
RL,20200601,169203,2320,261432,"B,Q,N",166883
PVH,20200601,134347,2063,380161,"B,Q,N",132284
LB,20200601,741585,1134,1976878,"B,Q,N",740451
HOG,20200601,401077,32678,1324500,"B,Q,N",368399
KSS,20200601,2292487,38623,5660534,"B,Q,N",2253864
FLS,20200601,343224,1061,1514070,"B,Q,N",342163
UNM,20200601,433845,2106,741866,"B,Q,N",431739
DISCA,20200601,498043,1776,964408,"B,Q,N",496267
HRB,20200601,210822,2209,589532,"B,Q,N",208613
FTI,20200601,736947,2297,2180928,"Q,N",734650
IVZ,20200601,1086914,10519,1908900,"B,Q,N",1076395
XRX,20200601,291846,10677,1094013,"B,Q,N",281169
GPS,20200601,3092398,12869,6660986,"B,Q,N",3079529
JWN,20200601,1975738,71599,4840503,"B,Q,N",1904139
ADS,20200601,418655,3785,707914,"B,Q,N",414870
UAA,20200601,629166,10629,1646129,"B,Q,N",618537
UA,20200601,2149083,3600,4456321,"B,Q,N",2145483
NWS,20200601,67047,300,71083,"B,Q,N",66747
COTY,20200601,8334528,681764,28597774,"B,Q,N",7652764
