Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortVol-Exempt
GPN,20200601,130828,2573,531168,"B,Q,N",128255
MMC,20200601,175322,6826,344338,"B,Q,N",168496
BIIB,20200601,107711,3613,188259,"B,Q,N",104098
APD,20200601,134008,3600,199223,"B,Q,N",130408
PNC,20200601,213547,384,452023,"B,Q,N",213163
AMAT,20200601,901124,3344,1737646,"B,Q,N",897780
ATVI,20200601,429023,2795,1184524,"B,Q,N",426228
ICE,20200601,249976,6977,410386,"B,Q,N",242999
ILMN,20200601,72364,540,141013,"B,Q,N",71824
NOC,20200601,108453,2250,263793,"B,Q,N",106203
ITW,20200601,139431,2626,199837,"B,Q,N",136805
BSX,20200601,848609,9733,2272386,"B,Q,N",838876
HUM,20200601,59869,3945,170891,"B,Q,N",55924
DE,20200601,298456,1205,439227,"B,Q,N",297251
NSC,20200601,157722,8492,327320,"B,Q,N",149230
ADSK,20200601,475807,4119,824869,"B,Q,N",471688
COP,20200601,821050,15569,2249488,"B,Q,N",805481
SCHW,20200601,1064109,14294,1793939,"B,Q,N",1049815
DG,20200601,385123,4492,860742,"B,Q,N",380631
KMB,20200601,141361,1647,266218,"B,Q,N",139714
SHW,20200601,50003,719,90170,"B,Q,N",49284
AON,20200601,156820,6815,237765,"B,Q,N",150005
PGR,20200601,233725,4400,395593,"Q,N",229325
NEM,20200601,806012,23544,1886584,"B,Q,N",782468
BAX,20200601,244843,13250,518262,"B,Q,N",231593
ADI,20200601,122934,300,257996,"B,Q,N",122634
MCO,20200601,130792,304,212768,"B,Q,N",130488
EL,20200601,222147,1316,409764,"B,Q,N",220831
EW,20200601,521835,2007,766671,"B,Q,N",519828
LHX,20200601,155597,2200,554452,"B,Q,N",153397
LRCX,20200601,229111,7830,490572,"B,Q,N",221281
WM,20200601,285593,29822,542627,"B,Q,N",255771
ROP,20200601,50298,303,80123,"B,Q,N",49995
AEP,20200601,149744,6635,379077,"B,Q,N",143109
DD,20200601,349094,7876,1371027,"B,Q,N",341218
EMR,20200601,300079,1692,548874,"B,Q,N",298387
ETN,20200601,172073,7761,295873,"B,Q,N",164312
EXC,20200601,365100,9100,814399,"B,Q,N",356000
TMUS,20200601,284289,22035,608194,"B,Q,N",262254
EBAY,20200601,643727,6929,2083770,"B,Q,N",636798
CNC,20200601,298298,4011,583932,"B,Q,N",294287
PSX,20200601,289088,1620,640745,"B,Q,N",287468
GD,20200601,161343,4,305614,"B,Q,N",161339
GIS,20200601,449463,6664,687965,"B,Q,N",442799
GM,20200601,1595661,15412,3653199,"B,Q,N",1580249
SRE,20200601,101214,1027,238455,"B,Q,N",100187
DLR,20200601,149502,2103,525456,"B,Q,N",147399
COF,20200601,639597,21054,1536304,"B,Q,N",618543
ROST,20200601,234240,3517,686014,"B,Q,N",230723
EA,20200601,204637,15605,389364,"B,Q,N",189032
XEL,20200601,249516,14249,377270,"B,Q,N",235267
BK,20200601,253825,5688,526682,"B,Q,N",248137
SBAC,20200601,87141,1125,183461,"B,Q,N",86016
FDX,20200601,326493,3804,769526,"B,Q,N",322689
WBA,20200601,850642,6623,1995848,"B,Q,N",844019
ALL,20200601,167240,8854,398933,"B,Q,N",158386
EOG,20200601,409189,2735,772172,"B,Q,N",406454
DOW,20200601,250133,3438,844663,"B,Q,N",246695
DXCM,20200601,95330,0,232342,"B,Q,N",95330
KMI,20200601,928578,14197,2602929,"B,Q,N",914381
ORLY,20200601,63812,1097,134028,"B,Q,N",62715
MET,20200601,672448,8159,1282313,"B,Q,N",664289
AIG,20200601,782057,4215,1303137,"B,Q,N",777842
TRV,20200601,295506,6556,474326,"B,Q,N",288950
CTSH,20200601,368205,10542,693330,"B,Q,N",357663
APH,20200601,152594,9430,341686,"B,Q,N",143164
PSA,20200601,184044,14763,279013,"B,Q,N",169281
SYY,20200601,356412,4534,788414,"B,Q,N",351878
TEL,20200601,328241,21992,737113,"B,Q,N",306249
TROW,20200601,105693,1047,184889,"B,Q,N",104646
STZ,20200601,104232,17095,607527,"B,Q,N",87137
KLAC,20200601,168320,978,331382,"B,Q,N",167342
WEC,20200601,216375,3684,309520,"B,Q,N",212691
AFL,20200601,206804,1443,592710,"B,Q,N",205361
VLO,20200601,484797,4716,1269813,"B,Q,N",480081
YUM,20200601,129997,2048,415681,"B,Q,N",127949
INFO,20200601,121576,2110,279074,"B,Q,N",119466
MAR,20200601,996988,7926,2054992,"B,Q,N",989062
HCA,20200601,89815,1042,423809,"B,Q,N",88773
A,20200601,236685,500,362913,"B,Q,N",236185
SLB,20200601,1178404,44656,3131282,"B,Q,N",1133748
ES,20200601,288841,4558,533079,"B,Q,N",284283
IQV,20200601,61589,280,154952,"B,Q,N",61309
SNPS,20200601,106998,908,259985,"B,Q,N",106090
MNST,20200601,177986,4276,442832,"B,Q,N",173710
AZO,20200601,19526,400,45685,"B,Q,N",19126
VRSK,20200601,76772,2100,192163,"B,Q,N",74672
CMI,20200601,211409,16379,457258,"B,Q,N",195030
ZBH,20200601,62813,161,125759,"Q,N",62652
CMG,20200601,115770,2550,252159,"B,Q,N",113220
IDXX,20200601,43955,0,90787,"B,Q,N",43955
JCI,20200601,332137,34347,619856,"B,Q,N",297790
KR,20200601,902099,21492,2298291,"B,Q,N",880607
MSCI,20200601,40322,250,127065,"B,Q,N",40072
PRU,20200601,547325,4878,1139750,"B,Q,N",542447
PPG,20200601,99438,344,411784,"B,Q,N",99094
WLTW,20200601,29335,304,123335,"Q,N",29031
PEG,20200601,335687,1387,716192,"B,Q,N",334300
TWTR,20200601,3693753,29778,6083789,"B,Q,N",3663975
PCAR,20200601,152108,6065,269790,"B,Q,N",146043
MCK,20200601,102306,626,242477,"B,Q,N",101680
ROK,20200601,111454,1174,175543,"Q,N",110280
